Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing|Industry|Financial Data & Stock Exchanges|14|1|77
Bullish Engulfing|Industry|Medical Distribution|14|0.9285714285714286|61
Bullish Engulfing|Entity|CRL.US|10|0.9|29
Bullish Engulfing|Entity|PEBO.US|10|0.9|59
Bullish Engulfing|Entity|MCY.US|12|0.8333333333333334|59
Bullish Engulfing|Industry|Chemicals|11|0.8181818181818182|28
Bullish Engulfing|Entity|EPAC.US|10|0.8|22
Bullish Engulfing|Entity|IMKTA.US|10|0.8|33
Bullish Engulfing|Entity|FISI.US|10|0.8|68
Bullish Engulfing|Entity|BF-B.US|10|0.8|129
Bullish Engulfing|Entity|IPAR.US|12|0.75|37
Bullish Engulfing|Industry|Insurance - Life|12|0.75|41
Bullish Engulfing|Industry|Security & Protection Services|28|0.75|66
Bullish Engulfing|Entity|NRIM.US|12|0.75|76
Bullish Engulfing|Entity|UHT.US|12|0.75|194
Bullish Engulfing|Industry|Banks - Diversified|26|0.7307692307692307|83
Bullish Engulfing|Industry|Resorts & Casinos|11|0.7272727272727273|9
Bullish Engulfing|Entity|TIMB.US|11|0.7272727272727273|27
Bullish Engulfing|Industry|Grocery Stores|11|0.7272727272727273|33
Bullish Engulfing|Entity|KMPR.US|11|0.7272727272727273|41
Bullish Engulfing|Entity|WST.US|11|0.7272727272727273|44
Bullish Engulfing|Entity|XSVM.US|11|0.7272727272727273|56
Bullish Engulfing|Entity|SLYG.US|11|0.7272727272727273|69
Bullish Engulfing|Entity|RWR.US|11|0.7272727272727273|124
Bullish Engulfing|Industry|Credit Services|38|0.7105263157894737|19
Bullish Engulfing|Entity|VRTX.US|10|0.7|13
Bullish Engulfing|Entity|CRMT.US|10|0.7|18
Bullish Engulfing|Entity|SMDD.US|10|0.7|30
Bullish Engulfing|Entity|TBRG.US|10|0.7|46
Bullish Engulfing|Entity|WMK.US|10|0.7|135
Bullish Engulfing|Industry|Packaging & Containers|29|0.6896551724137931|55
Bullish Engulfing|Industry|Specialty Business Services|32|0.6875|44
Bullish Engulfing|Industry|Semiconductor Equipment & Materials|25|0.68|17
Bullish Engulfing|Industry|Household & Personal Products|33|0.6666666666666666|55
Bullish Engulfing|Industry|Utilities - Regulated Electric|85|0.6588235294117647|93
Bullish Engulfing|Industry|Scientific & Technical Instruments|35|0.6571428571428571|33
Bullish Engulfing|Industry|Oil & Gas Midstream|29|0.6551724137931034|73
Bullish Engulfing|Industry|Insurance - Property & Casualty|46|0.6521739130434783|60
Bullish Engulfing|Industry|Packaged Foods|54|0.6481481481481481|50
Bullish Engulfing|Industry|Utilities - Regulated Water|34|0.6470588235294118|53
Bullish Engulfing|Industry|Aerospace & Defense|76|0.6447368421052632|31
Bullish Engulfing|Industry|REIT - Hotel & Motel|14|0.6428571428571429|70
Bullish Engulfing|Entity|OCN.US|11|0.6363636363636364|13
Bullish Engulfing|Entity|VHI.US|11|0.6363636363636364|17
Bullish Engulfing|Entity|GLT.US|11|0.6363636363636364|30
Bullish Engulfing|Entity|DUG.US|11|0.6363636363636364|30
Bullish Engulfing|Entity|UHS.US|11|0.6363636363636364|81
Bullish Engulfing|Entity|MSEX.US|11|0.6363636363636364|131
Bullish Engulfing|Industry|Integrated Freight & Logistics|24|0.625|37
Bullish Engulfing|Sector|Utilities|160|0.625|83
Bullish Engulfing|Industry|Apparel Retail|61|0.6229508196721312|30
Bullish Engulfing|Entity|VXRT.US|13|0.6153846153846154|4
Bullish Engulfing|Industry|Food Distribution|13|0.6153846153846154|14
Bullish Engulfing|Industry|Paper & Paper Products|13|0.6153846153846154|27
Bullish Engulfing|Entity|MNRO.US|13|0.6153846153846154|28
Bullish Engulfing|Entity|GBLI.US|13|0.6153846153846154|70
Bullish Engulfing|Entity|IDU.US|13|0.6153846153846154|168
Bullish Engulfing|Industry|REIT - Specialty|23|0.6086956521739131|29
Bullish Engulfing|Industry|Beverages - Wineries & Distilleries|23|0.6086956521739131|151
Bullish Engulfing|Industry|REIT - Residential|33|0.6060606060606061|119
Bullish Engulfing|Industry|Specialty Industrial Machinery|104|0.6057692307692307|37
Bullish Engulfing|Industry|REIT - Office|43|0.6046511627906976|41
Bullish Engulfing|Entity|NCTY.US|10|0.6|7
Bullish Engulfing|Entity|AXDX.US|10|0.6|8
Bullish Engulfing|Industry|Trucking|15|0.6|17
Bullish Engulfing|Entity|GILT.US|10|0.6|26
Bullish Engulfing|Entity|AEM.US|10|0.6|26
Bullish Engulfing|Industry|Restaurants|60|0.6|32
Bullish Engulfing|Entity|MCK.US|10|0.6|40
Bullish Engulfing|Industry|Farm Products|25|0.6|44
